ID link,in_mine,in_BauschFluck,in_Town,in_DiazRamos,in_daCunha
O60896,1,1,1,0,1
O60906,0,0,0,0,1
O60909,0,0,1,0,0
O60911,0,0,1,0,0
O60928,1,0,1,0,1
O60931,0,1,1,0,0
O60939,1,1,1,0,1
O71037,1,1,1,0,0
O75015,1,1,0,1,1
O75019,1,1,1,1,0
O75022,1,1,1,1,1
O75023,1,1,1,1,1
O75051,1,1,1,0,1
O75054,1,1,1,0,1
O75056,1,0,1,1,1
O75063,0,0,1,0,0
O75069,0,0,0,0,1
O75072,0,0,1,0,0
O75074,1,1,1,1,1
O75077,1,1,1,1,1
O75078,1,1,1,0,1
O75084,1,1,1,0,1
O75096,1,1,1,1,1
O75110,1,0,1,0,1
O75121,1,1,0,0,1
O75129,0,1,1,0,1
O75144,1,1,1,1,1
O75145,0,0,1,0,0
O75154,0,0,1,0,0
O75185,1,0,1,0,1
O75192,0,0,1,0,0
O75197,1,1,1,1,1
O75204,0,0,1,0,1
O75264,0,0,1,0,0
O75298,0,0,1,0,0
O75309,1,1,1,0,1
O75310,0,0,1,0,0
O75311,1,1,1,0,1
O75324,0,0,1,0,0
O75325,1,1,1,0,1
O75326,1,1,1,1,0
O75330,0,0,1,1,0
O75334,0,0,1,0,0
O75335,0,0,1,0,0
O75340,0,0,1,0,0
O75352,0,0,1,0,1
O75354,0,0,1,0,0
O75355,1,1,1,1,1
O75379,0,0,1,0,0
O75387,0,1,0,0,1
O75388,1,1,0,0,1
O75396,0,0,1,0,0
O75398,0,0,1,1,1
O75425,0,0,1,0,1
O75427,0,0,1,0,1
O75438,0,0,1,0,0
O75443,1,1,0,0,0
O75445,1,1,1,0,1
O75452,0,0,1,0,0
O75473,1,1,1,0,1
O75477,0,0,1,0,0
O75487,1,1,1,0,0
O75508,1,1,1,0,1
O75509,1,1,1,1,1
O75578,1,1,1,1,1
O75581,1,1,1,1,1
O75592,0,0,1,0,1
O75631,0,1,1,0,0
O75712,1,1,1,0,1
O75751,0,1,1,0,1
O75752,0,0,1,0,0
O75762,1,0,1,0,1
